"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"GLSlips","PostInternal","POST","/api/v2/GLSlips","GLSlips","TResult`1"
"GLSlips","DeleteInternalById","DELETE","/api/v2/GLSlips","String","TResult`1"
"GLSlips","DeleteInternalByParam","DELETE","/api/v2/GLSlips/DeleteInternalByParam","GLSlipsParam","TResult`1"
"ItemCounting","Describe","POST","/api/v2/ItemCounting/Describe","","String"
"ItemCounting","GetInternalById","GET","/api/v2/ItemCounting/GetInternalById","String","TResult`1"
"ItemCounting","PostInternal","POST","/api/v2/ItemCounting","ItemCounting","TResult`1"
"ItemCounting","DeleteInternalById","DELETE","/api/v2/ItemCounting","String","TResult`1"
"ItemCounting","GetItemCountingRecords","GET","/api/v2/ItemCounting/GetItemCountingRecords","String","TResult`1"
"ItemCountingProcessing","Describe","POST","/api/v2/ItemCountingProcessing/Describe","","String"
"ItemCountingProcessing","GetInternal","GET","/api/v2/ItemCountingProcessing","SelectFilter","TSelectData`1"
"ItemCountingProcessing","GetInternalById","GET","/api/v2/ItemCountingProcessing/GetInternalById","String","TResult`1"
"ItemCountingProcessing","PostInternal","POST","/api/v2/ItemCountingProcessing","ItemCountingProcessing","TResult`1"
"ItemCountingProcessing","DeleteInternalById","DELETE","/api/v2/ItemCountingProcessing","String","TResult`1"
"ItemCountingProcessing","ProcessToItemTransactions","POST","/api/v2/ItemCountingProcessing/ProcessToItemTransactions","String","TResult`1"
"ItemCountingProcessing","ProcessToItemTransactionsCancelation","POST","/api/v2/ItemCountingProcessing/ProcessToItemTransactionsCancelation","String","TResult`1"
"ItemSlips","GetInternal","GET","/api/v2/ItemSlips","JTFaturaTip, SelectFilter","TSelectData`1"
"ItemSlips","GetInternalById","GET","/api/v2/ItemSlips/GetInternalById","String","TResult`1"
"ItemSlips","GetInternalByParam","GET","/api/v2/ItemSlips/GetInternalByParam","ItemSlipsParam","TResult`1"
"ItemSlips","PostInternal","POST","/api/v2/ItemSlips","ItemSlips","TResult`1"
"ItemSlips","Calculate","GET","/api/v2/ItemSlips/Calculate","ItemSlips","TResult`1"
"ItemSlips","PutInternal","PUT","/api/v2/ItemSlips","String, ItemSlips","TResult`1"
"ItemSlips","DeleteInternalById","DELETE","/api/v2/ItemSlips","String","TResult`1"
"ItemSlips","DeleteInternalByParam","DELETE","/api/v2/ItemSlips/DeleteInternalByParam","ItemSlipsParam","TResult`1"
"ItemSlips","CustomCustomerMainInfo","GET","/api/v2/ItemSlips/CustomCustomerMainInfo","SelectFilter","TSelectData`1"
"ItemSlips","GetHtmlItemSlips","GET","/api/v2/ItemSlips/GetHtmlItemSlips","ItemSlipsCodeParam","TResult`1"
"ItemSlips","NewEItemSlipsNumber","POST","/api/v2/ItemSlips/NewEItemSlipsNumber","ItemSlipsCodeParam","TResult`1"
"ItemSlips","NewNumber","POST","/api/v2/ItemSlips/NewNumber","ItemSlipsCodeParam","TResult`1"
"ItemSlips","IncrementNumber","PUT","/api/v2/ItemSlips/IncrementNumber","ItemSlipsCodeParam","TResult`1"
"ItemSlips","IrsToFat","POST","/api/v2/ItemSlips/IrsToFat","ItemSlipsDetailParam","TResult`1"
"ItemSlips","SiparisToIrsFat","POST","/api/v2/ItemSlips/SiparisToIrsFat","ItemSlipsDetailParam","TResult`1"
"ItemSlips","ChangeNumber","PUT","/api/v2/ItemSlips/ChangeNumber","ItemSlipsChangeNumberParam","TResult`1"
"ItemSlips","SendEMailDesign","POST","/api/v2/ItemSlips/SendEMailDesign","ItemSlipsCodeParam","TResult`1"
"ItemSlips","ChangeCode","PUT","/api/v2/ItemSlips/ChangeCode","ItemSlipsChangeCodeParam","TResult`1"
